-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER Source Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST,,,,,,,,,,,,,,
Location: Latitude  12.9716   Longitude 77.5946 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 841.72 meters,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
GWETROOT        MERRA-2 Root Zone Soil Wetness (1) ,,,,,,,,,,,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
T2M             MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,,,,,,,
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,,,,,,,
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) ,,,,,,,,,,,,,,
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) ,,,,,,,,,,,,,,
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2012,0.01,0,0.1,1.18,1.83,0.91,1.72,2.99,1.95,3.71,0.97,0.57,1.34
PRECTOTCORR,2013,0,0.48,0.35,0.75,4.85,2.5,3.23,3.53,8.56,2.89,1.62,0.07,2.41
PRECTOTCORR,2014,0,0.01,0.17,0.21,2.7,3.02,1.61,2.1,4.82,4.47,0.53,0.19,1.66
PRECTOTCORR,2015,0.06,0.05,0.69,2.89,2.84,2.52,1.1,2.61,3.31,3.16,7.55,0.33,2.26
PRECTOTCORR,2016,0.08,0,0.74,0.13,3.63,4.62,4.59,1.35,1.12,0.83,0.06,1.96,1.6
PRECTOTCORR,2017,0.17,0,1.13,0.72,4.1,2.25,2.21,6.4,9,8.09,1.03,0.42,2.98
PRECTOTCORR,2018,0,0.2,0.71,1,5,1.89,1.9,1.76,3.77,2.01,0.78,0.15,1.61
PRECTOTCORR,2019,0.34,0.62,0,1.29,3.36,1.84,1.82,4.31,5.38,6.05,1.34,0.43,2.24
PRECTOTCORR,2020,0.01,0,0.27,2.05,1.83,5.77,5.66,3.48,6.55,5.07,3.31,0.93,2.91
PRECTOTCORR,2021,0.62,0.63,0,2.13,5.21,2.48,6.57,3.46,4.34,5.85,6.7,0.44,3.22
PRECTOTCORR,2022,0.07,0,0.39,1.68,6.13,5.09,3.97,16.06,5.27,5.83,2.23,3.12,4.19
PRECTOTCORR,2023,0.01,0.01,1.29,0.99,4.37,3.34,2.28,2.13,5.65,1.85,2.27,0.55,2.07
PRECTOTCORR,2024,0.11,0,0,0,3.75,4.93,1.99,6.12,1.65,7.34,1.38,3.27,2.56
PRECTOTCORR,2025,0.21,0,0.19,1.24,6.4,1.46,1.95,-999,-999,-999,-999,-999,-999
QV2M,2000,9.27,10.74,9.1,12.07,14.17,14.27,14.18,15.14,15.7,14.37,13.24,10.26,12.71
QV2M,2001,9.99,7.73,8.95,13.01,14.95,14.46,14.49,14.79,15.34,15.55,14.12,11.19,12.91
QV2M,2002,11.14,9.39,8.42,10.18,14.72,16.01,14.81,14.3,14.06,14.77,12.47,9.27,12.48
QV2M,2003,8.98,9.63,9.58,11.46,12.78,14.79,15,15.1,14.69,15.07,12.87,10.36,12.54
QV2M,2004,9.42,7.61,7.67,12.41,15.69,15.47,15.32,15.18,15.57,15.18,13.25,10.11,12.75
QV2M,2005,10.24,8.19,9.35,13.74,14.58,15.85,15.46,15.55,16.1,16.13,13.27,12.62,13.45
QV2M,2006,10.7,8.19,12.04,11.62,14.69,15.36,14.83,14.49,14.84,14.46,13.98,10.44,13
QV2M,2007,8.41,8.28,8.6,12.1,15.2,15.54,15.5,15.52,15.96,15.08,12.54,12.13,12.93
QV2M,2008,10.11,11.38,11.04,11.34,13.31,14.88,15.13,15.58,15.52,14.85,12.98,11.5,13.14
QV2M,2009,9.73,8.53,8.47,11.08,14.23,15.17,14.53,15.2,15.84,14.22,14.5,12.48,12.85
QV2M,2010,10.95,8.91,8.39,12.93,15.79,15.58,14.87,15.66,15.49,15.92,15.05,12.67,13.54
QV2M,2011,10.23,9.43,7.7,11.69,14.92,14.48,14.14,14.86,14.6,14.82,12.38,10.24,12.47
QV2M,2012,9.12,7.54,8.42,11.46,14.53,13.55,14.17,14.3,14.25,13.9,12.11,11.46,12.08
QV2M,2013,8.83,9.28,9.26,11.92,14.76,14.9,14.83,15.2,15.64,15.75,13.56,10.34,12.87
QV2M,2014,9.88,9.04,8.33,9.59,14.36,15.23,14.75,14.92,14.88,14.61,11.68,11.34,12.41
QV2M,2015,9.14,7.35,9.68,12.92,14.78,15.1,14.47,14.73,14.79,13.68,14.53,12.54,12.84
QV2M,2016,10.37,9.66,10.12,10.81,14.29,15.02,15.08,14.99,14.1,11.87,9.01,9.36,12.07
QV2M,2017,8.87,6.77,10.24,10.67,14.9,14.71,14.41,15.42,16.21,15.67,14.4,11.98,12.89
QV2M,2018,10.05,8.62,9.18,12,15.39,14.85,14.77,14.39,14.45,12.93,11.9,10.64,12.45
QV2M,2019,7.68,9.55,8.71,10.43,14.82,15.07,14.58,14.88,15.58,16.04,14.87,13.11,12.96
QV2M,2020,11.15,9.38,9.9,11.78,13.99,15.12,15.93,16.02,15.8,15.53,14.55,12.87,13.52
QV2M,2021,12.22,9.28,8.55,12.09,15.36,15.06,15.83,15.41,15.61,16.27,15.4,12.87,13.69
QV2M,2022,12.24,10.38,9.41,12.13,15.62,15.42,15.57,15.92,15.99,15.36,13.83,13.34,13.79
QV2M,2023,10.37,8.88,10.19,10.76,15.5,15.28,14.97,14.87,15.61,14.58,14.4,12.59,13.19
QV2M,2024,10.89,9.29,8.58,9.85,15.52,15.18,15.22,16.32,15.41,16.28,14.61,14.41,13.48
QV2M,2025,10.73,8.52,9.27,11.93,15.3,15.19,14.88,-999,-999,-999,-999,-999,-999
T2M,2000,21.38,24.44,25.75,28.36,26.25,23.4,23.4,22.35,22.89,21.59,20.2,18.62,23.21
T2M,2001,21.1,24.65,27.7,26.16,25.7,23.96,23.48,23.2,22.99,22.02,20.74,18.9,23.37
T2M,2002,21.09,22.48,27.06,29.67,27.11,23.82,23.91,23.61,24.48,22.91,21.47,20.21,23.99
T2M,2003,22.1,25.6,27.05,28.49,29.14,25.2,23.81,23.46,23.56,22.67,20.93,20.52,24.37
T2M,2004,22.04,23.73,27.24,28.48,24.46,23.58,22.46,22.59,22.3,22.04,20.11,19.02,23.16
T2M,2005,21.53,24.12,27.23,26.61,27.42,24.06,23.11,22.8,22.64,21.98,19.2,18.96,23.3
T2M,2006,18.63,20.1,24.87,28.26,26.38,23.84,23.48,23.63,23.78,23.7,22.13,20.17,23.26
T2M,2007,21.6,23.53,27.29,27.73,26.26,24.36,23.27,22.42,22.28,21.66,19.36,19.24,23.25
T2M,2008,19.71,22.93,23.89,26.75,27.19,23.96,23.19,22.55,22.21,21.96,20.03,18.72,22.75
T2M,2009,19.53,23.06,26.29,28.48,27.04,23.44,23.14,23.54,23.07,21.88,21.57,21,23.5
T2M,2010,21.68,24.68,27.78,28.16,26.86,24.23,22.91,23.09,22.63,22.45,21.3,19.52,23.76
T2M,2011,20.14,21.97,26.23,27.48,26.75,24.4,23.37,23.16,23.41,23.02,21.24,20.62,23.49
T2M,2012,21.64,24.18,27.47,28.48,26.94,25.56,24.51,23.73,23.66,22.87,21.82,21.61,24.37
T2M,2013,22.47,23.82,27.12,29.37,26.89,23.04,22.42,22.95,22.3,22.24,20.88,19.79,23.6
T2M,2014,21.23,23.92,26.12,29.56,27.4,25.5,23.84,23.33,23.35,22.39,20.87,21.25,24.06
T2M,2015,21.62,23.02,25.92,26.96,26.03,24.28,24.81,24.52,24.28,23.1,21.13,20.71,23.87
T2M,2016,20.77,24.45,27.38,30.95,27.47,23.76,23.47,23.74,23.57,23.9,23.43,21.07,24.49
T2M,2017,21.31,23.14,26.35,29.78,27.32,24.3,24.39,23.58,22.84,21.95,20.83,19.09,23.74
T2M,2018,19.8,21.77,25.98,28.81,26.44,23.93,23.86,23.72,24.33,23.41,22.88,22.68,23.97
T2M,2019,21.4,24.7,28.55,29.33,28.07,25.91,24.41,23.43,23.1,22.55,21.88,21.57,24.57
T2M,2020,22.6,24.5,27.46,27.95,28.43,24.56,22.97,23.14,22.29,22.06,21.08,19.75,23.9
T2M,2021,20.9,21.63,25.94,27.68,26.07,23.87,23.08,23.14,22.95,22.82,21.33,19.81,23.27
T2M,2022,20.86,22.57,26.38,27.99,25.69,23.72,23.01,22.84,22.47,21.88,20.31,20.02,23.14
T2M,2023,18.82,21.88,24.86,28,26.85,25.59,23.94,25.39,23.4,23.49,23.15,22.3,23.98
T2M,2024,23,25.38,27.99,30.31,27.71,24.09,23.7,23.9,23.92,23.2,21.88,21.58,24.71
T2M,2025,20.73,23.38,27.19,28.3,25.9,24.3,24.02,-999,-999,-999,-999,-999,-999
T2M_MAX,2000,32.86,34.45,37.08,38.8,38.07,32.39,32.28,28.66,29.23,27.6,27.52,29.16,38.8
T2M_MAX,2001,31.87,36.57,38.15,38.5,35.97,32.91,32.13,31.45,31.48,28.14,27.11,27.66,38.5
T2M_MAX,2002,32.46,34.62,38.33,40.21,39.88,31.72,31.91,32.68,33.88,33.81,31.01,30.73,40.21
T2M_MAX,2003,33.82,35.36,36.94,39.09,38.87,38.3,31.5,31.83,31.62,30.91,29.47,31.15,39.09
T2M_MAX,2004,33.44,36.11,38.43,39.96,36.74,31.27,30.99,29.17,29.42,29.04,26.71,30.34,39.96
T2M_MAX,2005,31.79,36.71,38.2,36.67,39.09,31.41,29.58,28.72,28.66,27.89,26.3,26.59,39.09
T2M_MAX,2006,27.94,32.71,36.11,38.78,38.71,31.23,31.17,32.34,32.51,32.51,31.03,29.73,38.78
T2M_MAX,2007,33.39,35.41,37.72,38.38,36.32,34.18,30.15,28.9,28.58,28.24,27.57,27.56,38.38
T2M_MAX,2008,30.44,32.9,34.4,39.02,37.61,31.44,31.06,28.69,28.41,28.45,27.55,26.68,39.02
T2M_MAX,2009,31.82,36.84,37.45,38.46,38.45,32.45,31.04,31.61,30.87,28.72,28.25,30.26,38.46
T2M_MAX,2010,31.37,36.27,38.36,39,37.05,33.61,30.26,30.66,29.03,29.41,27.48,26.74,39
T2M_MAX,2011,30.74,33.19,37.45,37.69,36.1,33.09,32.8,30.77,31.95,31.04,29.88,30.89,37.69
T2M_MAX,2012,32.16,36.74,37.71,38.34,36.53,36.34,34.01,33.62,33.17,33.2,31.8,31.44,38.34
T2M_MAX,2013,33.35,34.6,37.82,38.57,38.18,31.14,29.24,30.54,28.65,27.8,28.07,29.6,38.57
T2M_MAX,2014,30.94,34.31,38.08,38.25,36.67,35.18,31.98,32.5,31.87,30.63,30.08,31.5,38.25
T2M_MAX,2015,32.62,34.84,36.92,37.07,35.89,32.38,33.4,32.85,33.72,31.29,29.85,28.81,37.07
T2M_MAX,2016,32.12,37.06,37.61,40.38,39.32,32.32,31.24,31.85,31.9,33.59,34.39,31.54,40.38
T2M_MAX,2017,33.46,36.48,37.49,38.72,38.61,33.35,33.67,32.05,29.16,27.63,27.26,26.9,38.72
T2M_MAX,2018,29.7,33.88,37.34,38.49,36.19,31.75,31.8,31.69,33.3,32.43,32.74,32.97,38.49
T2M_MAX,2019,32.62,36.24,39.11,39.01,37.48,35.69,33.29,32.94,30.75,28.59,28.5,31.49,39.11
T2M_MAX,2020,33.52,35.28,37.34,38.3,38.69,33.36,28.79,29.67,28.8,28.37,27.78,27.23,38.69
T2M_MAX,2021,30.23,33.68,39.25,38.28,35.88,32.41,29.53,29.59,29.75,28.71,27.68,27.39,39.25
T2M_MAX,2022,30.83,33.13,37.89,38.47,36.89,32.37,29.47,29.57,29.61,28.78,27.53,27.37,38.47
T2M_MAX,2023,28.86,33.35,35.67,38.21,36.59,34.52,32.56,33.67,31.99,30.91,32.18,31.26,38.21
T2M_MAX,2024,33.39,36.43,38.46,40.78,39.67,32,31.67,30.67,31.13,32.12,28.33,29.3,40.78
T2M_MAX,2025,32.08,35.59,37.88,39.11,35.72,32.61,32.34,-999,-999,-999,-999,-999,-999
T2M_MIN,2000,11.86,13.02,12.73,18.81,19.96,17.22,18.22,17.03,18.36,14.22,12.47,8.86,8.86
T2M_MIN,2001,11.45,12.63,14.91,16.81,18.69,17.82,17.73,17.98,18,15.44,14.43,8.89,8.89
T2M_MIN,2002,9.87,11.06,14.25,19.71,19.95,19.19,17.61,17.63,17.06,16.45,13.34,9.62,9.62
T2M_MIN,2003,11.83,16.13,16.71,18.42,20.78,18.95,18.83,18.53,18.24,14.32,11.98,9.73,9.73
T2M_MIN,2004,11.27,12.58,13.91,18.78,19.23,18.93,17.11,17.64,17.08,16.39,12.15,9.96,9.96
T2M_MIN,2005,11.03,11.89,15.5,19.37,20.28,19.1,18.05,18.77,18.26,18.21,10.8,9.98,9.98
T2M_MIN,2006,8.79,9.26,15.7,18.03,19.65,18.47,18.15,18.34,17.65,17.31,16.07,10.51,8.79
T2M_MIN,2007,10.73,11.81,15.62,18.84,19.63,18.19,18.73,18.15,16.61,16.28,8.6,10.05,8.6
T2M_MIN,2008,10.18,12.66,12.74,16.77,19.3,18.04,18.55,18.33,16.4,12.28,11.72,9.65,9.65
T2M_MIN,2009,9.81,12.1,15.66,18.29,19.87,17.48,18.17,18.32,17.83,14.16,14.83,12.38,9.81
T2M_MIN,2010,12.57,11.86,16.15,20.62,20.33,19.37,18.19,17.03,17.45,17.45,16.43,9.73,9.73
T2M_MIN,2011,9.51,10.76,13.59,19.08,19.37,18.61,17.64,17.7,16.74,16.14,12.98,10.21,9.51
T2M_MIN,2012,10.19,12.46,15.66,18.52,19.32,19.12,18.48,18,18,16.48,10.4,13.67,10.19
T2M_MIN,2013,12.45,12.27,14.31,20.94,20.19,17.91,18.15,18.41,17.2,17.04,13.59,10.06,10.06
T2M_MIN,2014,13.51,12.29,14.65,19.26,19.48,19.34,18.57,18.44,17.99,15.38,12.96,11.79,11.79
T2M_MIN,2015,9.31,11.81,13.48,18.94,19.36,18.42,18.19,18.38,18.07,14.08,13.34,10.28,9.31
T2M_MIN,2016,10.54,11.76,17.2,20.07,20.7,18.15,17.72,18.76,17.5,15.29,12.6,11.52,10.54
T2M_MIN,2017,10.6,11.45,13.67,19.44,20.72,18.39,18.15,19.07,17.68,15.56,13.69,10.38,10.38
T2M_MIN,2018,10.17,10.56,13.73,19.48,19.29,17.49,18.84,18.19,17.02,14.43,13.09,12.72,10.17
T2M_MIN,2019,9.86,14.37,15.99,19.6,19.72,19.78,18.98,18.27,18.35,17.75,14.92,15.07,9.86
T2M_MIN,2020,12.71,13.71,17.07,17.33,20.58,18.92,18.94,19.15,16.26,16.65,11.19,11.95,11.19
T2M_MIN,2021,10.67,10,13.15,18.97,19.32,17.7,18.08,17.59,17.67,17.83,16.96,10.6,10
T2M_MIN,2022,12.7,11.64,13.58,18.18,17.84,18.77,19.14,18.1,17.24,13.19,11.47,10.28,10.28
T2M_MIN,2023,9.22,11.61,12.46,17.39,20.6,18.58,18.47,19.2,18.33,15.12,16.43,13.39,9.22
T2M_MIN,2024,14.32,13.08,15.4,19.75,20.05,18.25,18.44,19.23,18.22,17.03,15.69,11.55,11.55
T2M_MIN,2025,10.22,12.53,14.58,18.43,19.6,18.43,18.45,-999,-999,-999,-999,-999,-999
WS10M_MAX,2000,7.13,7.05,7.34,7.67,9,13.35,12.2,12.6,9.03,6.41,9.69,7.79,13.35
WS10M_MAX,2001,7.64,6.3,7.25,7.82,9.93,12.72,13.99,11.16,7.29,7.2,6.87,8,13.99
WS10M_MAX,2002,7.04,8.64,8.14,7.24,9.84,11.13,10.04,11.78,8.61,7.44,7.43,6.98,11.78
WS10M_MAX,2003,7.43,7.8,9.25,7.03,9.05,10.65,10.48,10.35,8.31,6.88,7.16,6.68,10.65
WS10M_MAX,2004,7.5,6.91,8.26,6.35,11.23,12.86,10.14,11.79,9.34,7.17,7.37,6.75,12.86
WS10M_MAX,2005,6.87,9.09,7.26,8.99,6.43,10.66,12.71,12.67,11.2,6.58,8.39,6.4,12.71
WS10M_MAX,2006,6.93,7.69,6.29,8.2,11.75,11.33,12.86,12.72,10.01,7.69,6.68,7.86,12.86
WS10M_MAX,2007,6.32,7.36,6.71,7.65,7.48,12.61,11.9,11.09,9.4,9.23,5.96,8.65,12.61
WS10M_MAX,2008,7.27,7.63,9.21,7.96,8.36,10.65,10.71,11.3,9.24,6.93,9.07,7.36,11.3
WS10M_MAX,2009,8.53,7.41,8.82,7.15,8.04,10.51,12.76,9.33,10.03,9.37,8.42,7.28,12.76
WS10M_MAX,2010,6.53,6.95,8.42,7.36,10.69,10.84,11.67,9.78,8.64,7.46,10.01,7.21,11.67
WS10M_MAX,2011,6.61,7.05,7.76,7.41,7.49,11.92,12.15,10.62,9.52,8.13,10.35,11.53,12.15
WS10M_MAX,2012,7.66,8.02,8.38,7.12,8.57,13.31,10.76,11.24,9.82,13.28,11.92,8.51,13.31
WS10M_MAX,2013,6.44,8.31,8.25,7.03,8.75,12.24,13.21,12.64,8.68,6.9,7.79,9.59,13.21
WS10M_MAX,2014,7.65,7.44,8.09,7.42,11.17,10.74,13.04,12.11,10.33,7.55,7.16,7.58,13.04
WS10M_MAX,2015,6.8,7.29,7.86,7.71,8.54,14.39,12.06,10.41,10.52,6.69,9.6,8.16,14.39
WS10M_MAX,2016,8.41,8.07,6.89,8.79,9.75,11.18,13,11.17,9.59,6.51,6.62,8.65,13
WS10M_MAX,2017,7.99,8.44,7.32,7.67,9.42,10.74,12.05,9.08,11.02,6.94,7.59,9.44,12.05
WS10M_MAX,2018,5.83,6.63,7.51,7.56,6.67,11.56,12.19,11.99,7.24,7.54,8.1,7.46,12.19
WS10M_MAX,2019,7.42,7.99,7.96,8.75,6.83,11.42,10.37,12.98,11.2,8.54,8.35,7.89,12.98
WS10M_MAX,2020,6.29,8.54,6.83,8.35,9.7,11.12,10.08,12.98,10.17,9.12,11.08,8.08,12.98
WS10M_MAX,2021,7.18,8.28,7.73,6.89,9.28,11.17,11.65,9.12,9.2,6.4,8.73,7.42,11.65
WS10M_MAX,2022,6.68,7.55,8.28,7.86,9.49,9.34,13.63,12.48,9.74,7.33,7.04,10.59,13.63
WS10M_MAX,2023,6.66,7.2,8.47,6.93,6.2,8.75,12,10.16,9.37,8.94,7.76,8.79,12
WS10M_MAX,2024,7.25,8.51,7.7,8.28,9.35,11.96,13.09,10.08,10.95,5.28,8.74,8.41,13.09
WS10M_MAX,2025,7.34,7.93,7.92,6.44,12.08,12.46,12.56,-999,-999,-999,-999,-999,-999
WS10M_MIN,2000,1.09,0.11,0.28,0.26,0.28,2.45,1.04,0.55,0.41,0.34,1.29,1.79,0.11
WS10M_MIN,2001,0.77,0.37,0.15,0.13,0.24,1.99,1.47,2.5,0.07,0.5,0.34,1.79,0.07
WS10M_MIN,2002,0.22,0.18,0.05,0.54,0.18,0.63,2.5,0.12,0.16,0.2,0.16,0.06,0.05
WS10M_MIN,2003,0.29,0.12,0.16,0.11,0.13,0.83,1.74,1.99,0.22,0.47,1.78,0.11,0.11
WS10M_MIN,2004,0.51,0.49,0.3,0.17,0.53,0.64,0.71,2.69,0.21,0.07,1.42,0.26,0.07
WS10M_MIN,2005,0.48,0.62,0.3,0.15,0.23,0.22,0.1,0.19,0.59,0.35,0.75,0.29,0.1
WS10M_MIN,2006,0.65,0.09,0.16,0.25,0.29,0.15,3.32,1.35,0.46,0.2,0.69,2.14,0.09
WS10M_MIN,2007,1.6,0.15,0.95,0.06,0.22,0.07,0.92,0.95,0.39,0.15,0.22,0.42,0.06
WS10M_MIN,2008,0.4,0.73,0.07,0.57,0.54,1.28,0.14,0.34,0.19,0.2,0.19,1.39,0.07
WS10M_MIN,2009,1.12,0.93,0.18,0.29,0.12,0.74,3.31,0.99,0.73,0.19,0.21,0.18,0.12
WS10M_MIN,2010,0.22,0.19,0.09,0.15,0.31,0.56,0.18,0.37,0.1,0.17,0.19,0.39,0.09
WS10M_MIN,2011,0.77,0.14,0.45,0.42,0.26,1.35,2.27,1.28,1.19,0.13,1.13,0.23,0.13
WS10M_MIN,2012,0.31,0.29,0.18,0.19,0.22,2.78,1.2,0.3,0.17,0.2,0.46,0.73,0.17
WS10M_MIN,2013,0.61,1.34,0.18,0.06,0.12,1.8,3.37,0.48,0.23,0.67,0.3,0.07,0.06
WS10M_MIN,2014,1.17,0.15,0.36,0.69,0.17,0.48,2.84,0.23,0.89,0.18,0.78,0.85,0.15
WS10M_MIN,2015,0.06,0.13,0.17,0.15,0.13,0.49,2.96,0.82,0.6,0.25,0.57,0.41,0.06
WS10M_MIN,2016,0.2,0.19,0.1,0.29,0.25,0.72,0.65,0.99,1.63,0.34,0.13,0.32,0.1
WS10M_MIN,2017,0.28,0.43,0.22,0.1,0.28,1.97,1.35,0.05,0.26,0.22,0.31,0.29,0.05
